No.,,ATS1m,SM1_B(m),SM1_B(e),SM1_B(i),HyWi_X,BID,CID,EE_X,MWC01,MPC01,IVDM,SpPos_A,SpAD_A,HyWi_B(e),ATS1s,HyWi_Dt,EE_A,HyWi_H2,VE1_L,VE1sign_L,IDDM,RT
15,,0.362936112,0.329399692,0.337887546,0.344108446,0.279285714,0.301017355,0.398320071,0.3375,0.397742076,0.397742076,0.390015601,0.162781955,0.162789605,0.399205999,0.239065309,0.363647799,0.401964797,0.391222096,0.268803139,0.392162819,0.428070175,0.14733179
17,,0.623923879,0.563878912,0.578560168,0.592805005,0.572142857,0.568521843,0.66091954,0.614673913,0.653061224,0.653061224,0.663026521,0.405451128,0.405470182,0.600352889,0.455961654,0.642641509,0.650429799,0.637533106,0.518639634,0.648845687,0.676023392,0.53712297
19,,0.713185319,0.657260133,0.674198634,0.687695516,0.683571429,0.671454219,0.750221043,0.714130435,0.740338689,0.740338689,0.755694228,0.52593985,0.525964566,0.687692986,0.563211504,0.739748428,0.734343021,0.720015134,0.622302158,0.736634265,0.758674464,0.63051044
22,,0.852288174,0.80502822,0.825538623,0.837851929,0.864285714,0.83722322,0.888152078,0.870108696,0.874945723,0.874945723,0.898283931,0.766259398,0.766295409,0.823114248,0.733373277,0.89081761,0.863692182,0.846008324,0.80412034,0.872417983,0.884210526,0.42227378
23,,0.752605347,0.698306824,0.715712034,0.714285714,0.683571429,0.671454219,0.750221043,0.714130435,0.740338689,0.740338689,0.755694228,0.52593985,0.525964566,0.71901191,0.666267226,0.739748428,0.734343021,0.720015134,0.622302158,0.736634265,0.758674464,0.58178654
25,,0.634798369,0.57208825,0.586442459,0.607403545,0.572142857,0.568521843,0.66091954,0.614673913,0.653061224,0.653061224,0.663026521,0.405451128,0.405470182,0.606528452,0.482923907,0.642641509,0.650429799,0.637533106,0.518639634,0.648845687,0.676023392,0.45881671
32,,0.860444042,0.804515136,0.824487651,0.825338895,0.801428571,0.801316577,0.851900973,0.829891304,0.844984802,0.844984802,0.848361934,0.698684211,0.698717045,0.822232025,0.777711204,0.822641509,0.840360213,0.828603859,0.761281884,0.842345079,0.856530214,0.60382831
33,,0.603081106,0.545920985,0.559642669,0.561522419,0.51,0.510472771,0.608311229,0.557608696,0.601823708,0.601823708,0.608424337,0.353289474,0.353306076,0.577856198,0.496105452,0.586037736,0.601309865,0.588724934,0.462393721,0.597205346,0.627290448,0.42575406
34,,0.299501586,0.271934325,0.27850762,0.273201251,0.182857143,0.219628965,0.299292661,0.238586957,0.300911854,0.300911854,0.286427457,0.116165414,0.116170873,0.306131451,0.27022169,0.26163522,0.306180925,0.296254257,0.191628515,0.294957473,0.330214425,0.24651972
41,,0.478477571,0.448948179,0.459800315,0.451511992,0.344285714,0.385996409,0.473916888,0.415217391,0.477203647,0.477203647,0.451170047,0.230169173,0.230226984,0.48478165,0.486518874,0.416855346,0.486287352,0.477487703,0.338456508,0.471142163,0.506432749,0.46867749
51,,0.362936112,0.329399692,0.337887546,0.344108446,0.240714286,0.31358468,0.391688771,0.324456522,0.397742076,0.397742076,0.360686427,0.151597744,0.151604869,0.40494045,0.226482924,0.336352201,0.40974212,0.39954597,0.268803139,0.392162819,0.428070175,0.15603248
61,,0.767104667,0.698306824,0.715712034,0.714285714,0.632857143,0.684619988,0.778956676,0.690217391,0.812852801,0.812852801,0.741341654,0.57443609,0.574416091,0.812527569,0.625524266,0.843899371,0.796152272,0.808172531,0.622302158,0.740886999,0.826510721,0.65545244
62,,0.66379701,0.612621857,0.627430373,0.624608968,0.541428571,0.574506284,0.652519894,0.607065217,0.653061224,0.653061224,0.633697348,0.384210526,0.384181587,0.660785179,0.576992211,0.587798742,0.659025788,0.652289065,0.518639634,0.64945322,0.676023392,0.39153132
63,,0.652016312,0.596716265,0.611665791,0.614181439,0.547142857,0.569718731,0.65694076,0.607065217,0.653061224,0.653061224,0.648361934,0.387781955,0.387800179,0.629466255,0.553624925,0.629433962,0.654523127,0.642830117,0.518639634,0.649756987,0.676023392,0.44779582
65,,0.601268691,0.509492047,0.521807672,0.515641293,0.386428571,0.4673848,0.568081344,0.469021739,0.601823708,0.601823708,0.530421217,0.296898496,0.296912449,0.585355095,0.406231276,0.577987421,0.595169873,0.597048808,0.402877698,0.542223572,0.627290448,0.4762181
68,,0.59401903,0.545920985,0.559642669,0.561522419,0.412142857,0.520047876,0.59239611,0.529891304,0.601823708,0.601823708,0.546957878,0.253007519,0.253066403,0.607410675,0.500898742,0.523144654,0.61972984,0.611804767,0.462393721,0.599331713,0.627290448,0.25928074
75,,0.811508836,0.748075936,0.766684183,0.76173097,0.733571429,0.716935966,0.789124668,0.757608696,0.778115502,0.778115502,0.795631825,0.591729323,0.591757131,0.763564182,0.720790893,0.782012579,0.770773639,0.755580779,0.670372793,0.77490887,0.793762183,0.59338747
76,,0.869506117,0.835813238,0.856542302,0.857664234,0.786428571,0.841412328,0.871794872,0.851086957,0.874945723,0.874945723,0.842433697,0.680639098,0.680671084,0.868989854,0.853804673,0.798742138,0.881702824,0.878547106,0.80412034,0.874848117,0.884210526,0.66589327
78,,0.926597191,0.884043099,0.905937993,0.91084463,0.918571429,0.909036505,0.950928382,0.926086957,0.953973079,0.953973079,0.942589704,0.916259398,0.916349453,0.939567711,0.854403835,0.930943396,0.938190749,0.935679152,0.88587312,0.928918591,0.957504873,0.84512761
80,,0.740371545,0.691636737,0.708880715,0.717413973,0.678571429,0.674446439,0.747126437,0.714130435,0.740338689,0.740338689,0.743837754,0.517105263,0.517129564,0.71636524,0.689035351,0.689937107,0.738027016,0.730230798,0.622302158,0.735419198,0.758674464,0.64733179
