Compound,RF
1,856
2,961
3,520
4,657
5,592
6,791
7,590
8,630
9,574
10,781
11,572
12,692
13,804
14,769
15,641
16,624
17,663
18,718
19,867
20,755
21,813
22,917
23,1088
24,836
25,737
26,488
27,845
28,607
29,607
30,599
31,817
32,683
33,1041
34,616
35,505
36,328
37,818
38,1007
39,659
40,473
41,960
42,753
43,1003
44,395
45,328
46,319
47,535
48,598
49,667
50,851
51,1012
52,773
53,422
54,193
55,309
56,595
57,435
58,528
59,325
60,167
61,249
62,1201
63,778
64,419
65,504
66,641
67,460
68,604
69,527
70,369
71,909
72,691
73,232
74,218
75,652
76,467
77,435
78,507
79,819
80,722
